Flight_ID,Flight_Date,Departure_Airport,Arrival_Airport,Booking_Date,Fare_Class,Ticket_Price,Booking_Channel,No_Show
F104,2025-06-02 04:00:00,JFK,MIA,2025-05-02 04:00:00,Business,641,App,0
F104,2025-06-02 05:00:00,JFK,BOS,2025-05-02 05:00:00,Business,945,App,0
F101,2025-06-02 06:00:00,ORD,SEA,2025-05-02 06:00:00,Economy,606,Web,1
F101,2025-06-02 07:00:00,DFW,ATL,2025-05-02 07:00:00,Economy,695,Agent,1
F104,2025-06-02 08:00:00,JFK,SEA,2025-05-02 08:00:00,Premium,980,App,0
F102,2025-06-02 09:00:00,LAX,MIA,2025-05-02 09:00:00,Business,380,Agent,0
F102,2025-06-02 10:00:00,JFK,ATL,2025-05-02 10:00:00,Premium,523,App,0
F101,2025-06-02 11:00:00,LAX,MIA,2025-05-02 11:00:00,Premium,955,App,0
F104,2025-06-02 12:00:00,DFW,MIA,2025-05-02 12:00:00,Economy,369,Web,0
F101,2025-06-02 13:00:00,ORD,SEA,2025-05-02 13:00:00,Economy,253,Web,0
F101,2025-06-02 14:00:00,JFK,MIA,2025-05-02 14:00:00,Premium,713,Agent,0
F103,2025-06-02 15:00:00,ORD,SEA,2025-05-02 15:00:00,Business,826,Web,0
F103,2025-06-02 16:00:00,JFK,ATL,2025-05-02 16:00:00,Economy,761,Web,0
F103,2025-06-02 17:00:00,LAX,SEA,2025-05-02 17:00:00,Business,182,Agent,1
F102,2025-06-02 18:00:00,ORD,ATL,2025-05-02 18:00:00,Business,721,Web,0
F104,2025-06-02 19:00:00,JFK,SEA,2025-05-02 19:00:00,Premium,998,App,0
F104,2025-06-02 20:00:00,LAX,BOS,2025-05-02 20:00:00,Premium,525,Agent,0
F104,2025-06-02 21:00:00,ORD,BOS,2025-05-02 21:00:00,Premium,374,Agent,0
F104,2025-06-02 22:00:00,ORD,MIA,2025-05-02 22:00:00,Premium,812,App,0
F103,2025-06-02 23:00:00,JFK,SEA,2025-05-02 23:00:00,Economy,383,Web,0
F102,2025-06-03 00:00:00,JFK,SEA,2025-05-03 00:00:00,Economy,272,Agent,0
F102,2025-06-03 01:00:00,JFK,ATL,2025-05-03 01:00:00,Premium,426,Agent,0
F103,2025-06-03 02:00:00,LAX,MIA,2025-05-03 02:00:00,Economy,817,App,0
F102,2025-06-03 03:00:00,JFK,SEA,2025-05-03 03:00:00,Premium,162,App,0
F103,2025-06-03 04:00:00,ORD,MIA,2025-05-03 04:00:00,Business,172,Web,0
F104,2025-06-03 05:00:00,ORD,BOS,2025-05-03 05:00:00,Business,862,Agent,0
F103,2025-06-03 06:00:00,JFK,SEA,2025-05-03 06:00:00,Business,735,Web,0
F104,2025-06-03 07:00:00,JFK,SEA,2025-05-03 07:00:00,Premium,474,Web,0
F104,2025-06-03 08:00:00,DFW,MIA,2025-05-03 08:00:00,Business,732,App,0
F101,2025-06-03 09:00:00,ORD,SEA,2025-05-03 09:00:00,Economy,607,Agent,0
F103,2025-06-03 10:00:00,LAX,MIA,2025-05-03 10:00:00,Business,886,Agent,0
F101,2025-06-03 11:00:00,DFW,SEA,2025-05-03 11:00:00,Business,497,Agent,0
F103,2025-06-03 12:00:00,JFK,ATL,2025-05-03 12:00:00,Business,219,App,0
F103,2025-06-03 13:00:00,JFK,MIA,2025-05-03 13:00:00,Economy,536,App,0
F101,2025-06-03 14:00:00,ORD,SEA,2025-05-03 14:00:00,Premium,928,App,0
F101,2025-06-03 15:00:00,JFK,BOS,2025-05-03 15:00:00,Economy,775,App,1
F103,2025-06-03 16:00:00,LAX,SEA,2025-05-03 16:00:00,Premium,564,App,0
F102,2025-06-03 17:00:00,ORD,BOS,2025-05-03 17:00:00,Premium,385,Agent,0
F104,2025-06-03 18:00:00,JFK,BOS,2025-05-03 18:00:00,Business,364,Web,0
F101,2025-06-03 19:00:00,ORD,ATL,2025-05-03 19:00:00,Premium,419,Agent,0
F104,2025-06-03 20:00:00,JFK,MIA,2025-05-03 20:00:00,Economy,772,Web,0
F102,2025-06-03 21:00:00,JFK,SEA,2025-05-03 21:00:00,Economy,475,App,0
F102,2025-06-03 22:00:00,JFK,ATL,2025-05-03 22:00:00,Premium,919,Web,1
F102,2025-06-03 23:00:00,LAX,SEA,2025-05-03 23:00:00,Business,188,Agent,0
F101,2025-06-04 00:00:00,LAX,BOS,2025-05-04 00:00:00,Business,753,Agent,0
F102,2025-06-04 01:00:00,ORD,MIA,2025-05-04 01:00:00,Economy,302,Web,0
F101,2025-06-04 02:00:00,JFK,SEA,2025-05-04 02:00:00,Business,920,App,0
F102,2025-06-04 03:00:00,JFK,SEA,2025-05-04 03:00:00,Premium,838,App,0
F104,2025-06-04 04:00:00,LAX,BOS,2025-05-04 04:00:00,Premium,433,Agent,0
F104,2025-06-04 05:00:00,JFK,SEA,2025-05-04 05:00:00,Economy,321,Web,0
F103,2025-06-04 06:00:00,LAX,SEA,2025-05-04 06:00:00,Premium,140,App,0
F104,2025-06-04 07:00:00,JFK,BOS,2025-05-04 07:00:00,Economy,807,App,1
F103,2025-06-04 08:00:00,ORD,ATL,2025-05-04 08:00:00,Premium,167,Agent,1
F104,2025-06-04 09:00:00,JFK,BOS,2025-05-04 09:00:00,Economy,875,App,0
F101,2025-06-04 10:00:00,JFK,ATL,2025-05-04 10:00:00,Business,613,Web,0
F104,2025-06-04 11:00:00,DFW,MIA,2025-05-04 11:00:00,Premium,972,Agent,1
F103,2025-06-04 12:00:00,LAX,ATL,2025-05-04 12:00:00,Premium,736,Agent,1
F103,2025-06-04 13:00:00,JFK,ATL,2025-05-04 13:00:00,Economy,721,Web,0
F102,2025-06-04 14:00:00,JFK,MIA,2025-05-04 14:00:00,Economy,697,Agent,0
F101,2025-06-04 15:00:00,DFW,ATL,2025-05-04 15:00:00,Premium,731,App,0
F104,2025-06-04 16:00:00,DFW,BOS,2025-05-04 16:00:00,Economy,226,App,0
F102,2025-06-04 17:00:00,LAX,ATL,2025-05-04 17:00:00,Premium,354,Web,1
F104,2025-06-04 18:00:00,DFW,MIA,2025-05-04 18:00:00,Business,794,App,0
F104,2025-06-04 19:00:00,ORD,BOS,2025-05-04 19:00:00,Economy,115,Web,1
F102,2025-06-04 20:00:00,DFW,MIA,2025-05-04 20:00:00,Premium,576,Web,0
F102,2025-06-04 21:00:00,ORD,MIA,2025-05-04 21:00:00,Business,161,App,1
F102,2025-06-04 22:00:00,LAX,SEA,2025-05-04 22:00:00,Business,980,Web,0
F102,2025-06-04 23:00:00,LAX,SEA,2025-05-04 23:00:00,Premium,531,App,0
F102,2025-06-05 00:00:00,LAX,MIA,2025-05-05 00:00:00,Economy,769,Agent,0
F104,2025-06-05 01:00:00,LAX,MIA,2025-05-05 01:00:00,Premium,367,Agent,0
F102,2025-06-05 02:00:00,LAX,MIA,2025-05-05 02:00:00,Business,134,Web,0
F101,2025-06-05 03:00:00,ORD,SEA,2025-05-05 03:00:00,Premium,878,App,1
F103,2025-06-05 04:00:00,ORD,SEA,2025-05-05 04:00:00,Economy,675,App,0
F102,2025-06-05 05:00:00,LAX,ATL,2025-05-05 05:00:00,Business,593,Agent,1
F102,2025-06-05 06:00:00,DFW,ATL,2025-05-05 06:00:00,Premium,661,Agent,1
F104,2025-06-05 07:00:00,JFK,MIA,2025-05-05 07:00:00,Economy,568,App,0
F102,2025-06-05 08:00:00,LAX,BOS,2025-05-05 08:00:00,Business,866,Web,0
F102,2025-06-05 09:00:00,DFW,BOS,2025-05-05 09:00:00,Economy,760,Agent,0
F102,2025-06-05 10:00:00,JFK,SEA,2025-05-05 10:00:00,Business,424,Web,0
F104,2025-06-05 11:00:00,LAX,SEA,2025-05-05 11:00:00,Premium,403,Web,0
F102,2025-06-05 12:00:00,LAX,SEA,2025-05-05 12:00:00,Economy,375,Agent,0
F103,2025-06-05 13:00:00,ORD,MIA,2025-05-05 13:00:00,Business,968,Web,0
F104,2025-06-05 14:00:00,JFK,BOS,2025-05-05 14:00:00,Economy,783,Web,0
F103,2025-06-05 15:00:00,JFK,ATL,2025-05-05 15:00:00,Economy,300,App,0
F104,2025-06-05 16:00:00,DFW,MIA,2025-05-05 16:00:00,Premium,544,Web,0
F102,2025-06-05 17:00:00,ORD,ATL,2025-05-05 17:00:00,Economy,423,App,1
F103,2025-06-05 18:00:00,ORD,ATL,2025-05-05 18:00:00,Business,134,Agent,0
F104,2025-06-05 19:00:00,ORD,MIA,2025-05-05 19:00:00,Business,581,Agent,1
F101,2025-06-05 20:00:00,ORD,ATL,2025-05-05 20:00:00,Business,827,App,0
F102,2025-06-05 21:00:00,JFK,BOS,2025-05-05 21:00:00,Business,579,Agent,0
F104,2025-06-05 22:00:00,JFK,ATL,2025-05-05 22:00:00,Premium,164,Web,0
F101,2025-06-05 23:00:00,LAX,BOS,2025-05-05 23:00:00,Economy,107,Web,0
F104,2025-06-06 00:00:00,LAX,BOS,2025-05-06 00:00:00,Premium,400,Web,0
F101,2025-06-06 01:00:00,ORD,BOS,2025-05-06 01:00:00,Economy,442,Agent,0
F102,2025-06-06 02:00:00,ORD,SEA,2025-05-06 02:00:00,Economy,530,Web,0
F103,2025-06-06 03:00:00,ORD,ATL,2025-05-06 03:00:00,Economy,523,Agent,0
F101,2025-06-06 04:00:00,LAX,MIA,2025-05-06 04:00:00,Premium,431,Web,0
F104,2025-06-06 05:00:00,DFW,MIA,2025-05-06 05:00:00,Economy,537,App,0
F102,2025-06-06 06:00:00,DFW,ATL,2025-05-06 06:00:00,Premium,687,Agent,0
F101,2025-06-06 07:00:00,LAX,SEA,2025-05-06 07:00:00,Business,273,Agent,0
F104,2025-06-06 08:00:00,LAX,SEA,2025-05-06 08:00:00,Business,658,Web,0
F104,2025-06-06 09:00:00,LAX,BOS,2025-05-06 09:00:00,Economy,626,Agent,0
F104,2025-06-06 10:00:00,LAX,ATL,2025-05-06 10:00:00,Premium,972,Agent,0
F101,2025-06-06 11:00:00,LAX,ATL,2025-05-06 11:00:00,Business,758,App,1
F101,2025-06-06 12:00:00,LAX,MIA,2025-05-06 12:00:00,Premium,125,App,0
F101,2025-06-06 13:00:00,ORD,ATL,2025-05-06 13:00:00,Premium,919,Web,0
F103,2025-06-06 14:00:00,ORD,SEA,2025-05-06 14:00:00,Economy,704,App,0
F101,2025-06-06 15:00:00,ORD,ATL,2025-05-06 15:00:00,Business,505,Web,0
F101,2025-06-06 16:00:00,ORD,MIA,2025-05-06 16:00:00,Economy,331,Web,0
F101,2025-06-06 17:00:00,LAX,BOS,2025-05-06 17:00:00,Economy,632,Web,0
F103,2025-06-06 18:00:00,DFW,MIA,2025-05-06 18:00:00,Business,918,Agent,0
F101,2025-06-06 19:00:00,JFK,MIA,2025-05-06 19:00:00,Business,649,App,0
F104,2025-06-06 20:00:00,LAX,BOS,2025-05-06 20:00:00,Premium,887,Web,0
F101,2025-06-06 21:00:00,JFK,MIA,2025-05-06 21:00:00,Business,604,App,0
F104,2025-06-06 22:00:00,DFW,MIA,2025-05-06 22:00:00,Premium,768,Web,0
F104,2025-06-06 23:00:00,ORD,ATL,2025-05-06 23:00:00,Premium,278,App,0
F104,2025-06-07 00:00:00,DFW,ATL,2025-05-07 00:00:00,Premium,231,App,0
F103,2025-06-07 01:00:00,LAX,BOS,2025-05-07 01:00:00,Business,922,Web,0
F103,2025-06-07 02:00:00,ORD,ATL,2025-05-07 02:00:00,Economy,554,Agent,0
F103,2025-06-07 03:00:00,LAX,ATL,2025-05-07 03:00:00,Premium,447,App,0
F101,2025-06-07 04:00:00,ORD,MIA,2025-05-07 04:00:00,Economy,639,Agent,0
F104,2025-06-07 05:00:00,JFK,SEA,2025-05-07 05:00:00,Economy,871,Agent,0
F103,2025-06-07 06:00:00,JFK,ATL,2025-05-07 06:00:00,Business,505,Web,0
F103,2025-06-07 07:00:00,JFK,SEA,2025-05-07 07:00:00,Economy,175,Web,0
F101,2025-06-07 08:00:00,DFW,ATL,2025-05-07 08:00:00,Economy,678,Web,0
F103,2025-06-07 09:00:00,LAX,ATL,2025-05-07 09:00:00,Business,953,App,0
F101,2025-06-07 10:00:00,DFW,BOS,2025-05-07 10:00:00,Premium,591,Web,0
F102,2025-06-07 11:00:00,JFK,BOS,2025-05-07 11:00:00,Economy,293,Web,0
F103,2025-06-07 12:00:00,LAX,BOS,2025-05-07 12:00:00,Business,261,App,1
F102,2025-06-07 13:00:00,JFK,SEA,2025-05-07 13:00:00,Economy,446,App,0
F101,2025-06-07 14:00:00,DFW,MIA,2025-05-07 14:00:00,Economy,460,Web,0
F104,2025-06-07 15:00:00,DFW,ATL,2025-05-07 15:00:00,Premium,868,Web,0
F103,2025-06-07 16:00:00,DFW,ATL,2025-05-07 16:00:00,Economy,683,Web,1
F101,2025-06-07 17:00:00,JFK,ATL,2025-05-07 17:00:00,Business,186,Web,1
F104,2025-06-07 18:00:00,LAX,SEA,2025-05-07 18:00:00,Economy,361,Agent,0
F104,2025-06-07 19:00:00,LAX,BOS,2025-05-07 19:00:00,Premium,313,Agent,0
F102,2025-06-07 20:00:00,JFK,MIA,2025-05-07 20:00:00,Premium,764,Web,0
F101,2025-06-07 21:00:00,LAX,SEA,2025-05-07 21:00:00,Business,821,Agent,0
F104,2025-06-07 22:00:00,JFK,BOS,2025-05-07 22:00:00,Premium,672,App,0
F103,2025-06-07 23:00:00,LAX,SEA,2025-05-07 23:00:00,Economy,879,Agent,0
F103,2025-06-08 00:00:00,ORD,MIA,2025-05-08 00:00:00,Premium,361,Agent,0
F102,2025-06-08 01:00:00,ORD,BOS,2025-05-08 01:00:00,Business,829,Web,0
F104,2025-06-08 02:00:00,DFW,SEA,2025-05-08 02:00:00,Premium,382,Agent,1
F101,2025-06-08 03:00:00,ORD,MIA,2025-05-08 03:00:00,Premium,747,Agent,0
F103,2025-06-08 04:00:00,ORD,ATL,2025-05-08 04:00:00,Premium,566,Agent,0
F104,2025-06-08 05:00:00,ORD,MIA,2025-05-08 05:00:00,Business,479,Agent,0
F104,2025-06-08 06:00:00,JFK,ATL,2025-05-08 06:00:00,Premium,461,App,0
F102,2025-06-08 07:00:00,ORD,SEA,2025-05-08 07:00:00,Premium,548,Web,0
F103,2025-06-08 08:00:00,ORD,BOS,2025-05-08 08:00:00,Economy,540,Web,0
F103,2025-06-08 09:00:00,DFW,BOS,2025-05-08 09:00:00,Business,192,App,1
F101,2025-06-08 10:00:00,ORD,SEA,2025-05-08 10:00:00,Premium,720,Agent,0
F103,2025-06-08 11:00:00,ORD,BOS,2025-05-08 11:00:00,Business,852,App,0
F101,2025-06-08 12:00:00,LAX,BOS,2025-05-08 12:00:00,Premium,966,Agent,0
F103,2025-06-08 13:00:00,DFW,ATL,2025-05-08 13:00:00,Premium,523,App,0
F102,2025-06-08 14:00:00,DFW,SEA,2025-05-08 14:00:00,Premium,241,Web,0
F103,2025-06-08 15:00:00,DFW,MIA,2025-05-08 15:00:00,Economy,390,Web,0
F101,2025-06-08 16:00:00,DFW,ATL,2025-05-08 16:00:00,Economy,531,Web,0
F101,2025-06-08 17:00:00,DFW,SEA,2025-05-08 17:00:00,Economy,848,Agent,0
F102,2025-06-08 18:00:00,DFW,ATL,2025-05-08 18:00:00,Business,951,Agent,0
F103,2025-06-08 19:00:00,JFK,MIA,2025-05-08 19:00:00,Business,923,App,0
F103,2025-06-08 20:00:00,ORD,MIA,2025-05-08 20:00:00,Economy,788,App,0
F102,2025-06-08 21:00:00,DFW,SEA,2025-05-08 21:00:00,Business,752,Web,0
F103,2025-06-08 22:00:00,ORD,MIA,2025-05-08 22:00:00,Premium,800,Agent,0
F103,2025-06-08 23:00:00,ORD,ATL,2025-05-08 23:00:00,Premium,148,App,0
F101,2025-06-09 00:00:00,JFK,MIA,2025-05-09 00:00:00,Premium,401,Agent,0
F103,2025-06-09 01:00:00,DFW,ATL,2025-05-09 01:00:00,Economy,980,Agent,0
F103,2025-06-09 02:00:00,LAX,ATL,2025-05-09 02:00:00,Business,289,Web,0
F102,2025-06-09 03:00:00,JFK,MIA,2025-05-09 03:00:00,Economy,235,Web,1
F102,2025-06-09 04:00:00,LAX,SEA,2025-05-09 04:00:00,Business,654,Agent,1
F104,2025-06-09 05:00:00,ORD,BOS,2025-05-09 05:00:00,Premium,503,Agent,0
F101,2025-06-09 06:00:00,ORD,MIA,2025-05-09 06:00:00,Economy,991,Agent,0
F103,2025-06-09 07:00:00,JFK,ATL,2025-05-09 07:00:00,Business,964,Agent,0
F103,2025-06-09 08:00:00,JFK,ATL,2025-05-09 08:00:00,Business,701,Web,0
F104,2025-06-09 09:00:00,LAX,MIA,2025-05-09 09:00:00,Premium,906,App,0
F103,2025-06-09 10:00:00,DFW,SEA,2025-05-09 10:00:00,Economy,440,Web,0
F101,2025-06-09 11:00:00,LAX,SEA,2025-05-09 11:00:00,Economy,856,App,0
F104,2025-06-09 12:00:00,JFK,ATL,2025-05-09 12:00:00,Economy,803,Agent,0
F101,2025-06-09 13:00:00,LAX,ATL,2025-05-09 13:00:00,Premium,417,App,0
F104,2025-06-09 14:00:00,JFK,SEA,2025-05-09 14:00:00,Economy,717,Web,0
F104,2025-06-09 15:00:00,LAX,BOS,2025-05-09 15:00:00,Premium,462,Web,0
F102,2025-06-09 16:00:00,JFK,MIA,2025-05-09 16:00:00,Premium,921,Agent,0
F101,2025-06-09 17:00:00,JFK,ATL,2025-05-09 17:00:00,Premium,481,Web,0
F103,2025-06-09 18:00:00,JFK,ATL,2025-05-09 18:00:00,Business,332,Agent,1
F103,2025-06-09 19:00:00,DFW,SEA,2025-05-09 19:00:00,Economy,876,Web,0
F101,2025-06-09 20:00:00,LAX,MIA,2025-05-09 20:00:00,Economy,443,Web,0
F103,2025-06-09 21:00:00,LAX,SEA,2025-05-09 21:00:00,Premium,648,Agent,0
F103,2025-06-09 22:00:00,LAX,MIA,2025-05-09 22:00:00,Premium,916,App,1
F101,2025-06-09 23:00:00,JFK,MIA,2025-05-09 23:00:00,Economy,652,Web,0
F104,2025-06-10 00:00:00,LAX,MIA,2025-05-10 00:00:00,Premium,628,App,0
F101,2025-06-10 01:00:00,LAX,ATL,2025-05-10 01:00:00,Economy,955,Web,0
F104,2025-06-10 02:00:00,JFK,BOS,2025-05-10 02:00:00,Business,888,Web,0
F103,2025-06-10 03:00:00,ORD,SEA,2025-05-10 03:00:00,Premium,918,Web,0
F103,2025-06-10 04:00:00,JFK,BOS,2025-05-10 04:00:00,Economy,670,Web,0
F103,2025-06-10 05:00:00,LAX,SEA,2025-05-10 05:00:00,Premium,282,App,0
F102,2025-06-10 06:00:00,JFK,MIA,2025-05-10 06:00:00,Economy,140,App,0
F104,2025-06-10 07:00:00,ORD,ATL,2025-05-10 07:00:00,Economy,650,Web,1
F102,2025-06-10 08:00:00,JFK,BOS,2025-05-10 08:00:00,Premium,496,Web,0
F102,2025-06-10 09:00:00,LAX,ATL,2025-05-10 09:00:00,Business,803,App,0
F101,2025-06-10 10:00:00,ORD,SEA,2025-05-10 10:00:00,Economy,878,Agent,0
F102,2025-06-10 11:00:00,DFW,ATL,2025-05-10 11:00:00,Economy,593,Agent,0
F101,2025-06-10 12:00:00,LAX,ATL,2025-05-10 12:00:00,Economy,758,App,1
F101,2025-06-10 13:00:00,ORD,BOS,2025-05-10 13:00:00,Business,432,Web,0
F102,2025-06-10 14:00:00,ORD,MIA,2025-05-10 14:00:00,Business,226,Web,0
F104,2025-06-10 15:00:00,DFW,ATL,2025-05-10 15:00:00,Premium,657,Agent,0
F104,2025-06-10 16:00:00,JFK,MIA,2025-05-10 16:00:00,Business,656,Agent,0
F104,2025-06-10 17:00:00,JFK,SEA,2025-05-10 17:00:00,Premium,100,App,0
F104,2025-06-10 18:00:00,LAX,ATL,2025-05-10 18:00:00,Premium,267,Agent,0
F104,2025-06-10 19:00:00,DFW,BOS,2025-05-10 19:00:00,Business,719,App,0
F102,2025-06-10 20:00:00,JFK,SEA,2025-05-10 20:00:00,Premium,118,Agent,1
F102,2025-06-10 21:00:00,DFW,SEA,2025-05-10 21:00:00,Business,431,Agent,0
F103,2025-06-10 22:00:00,JFK,BOS,2025-05-10 22:00:00,Premium,683,Agent,0
F104,2025-06-10 23:00:00,ORD,ATL,2025-05-10 23:00:00,Business,555,Web,0
F102,2025-06-11 00:00:00,JFK,ATL,2025-05-11 00:00:00,Business,208,Web,0
F103,2025-06-11 01:00:00,DFW,SEA,2025-05-11 01:00:00,Premium,367,Web,0
F104,2025-06-11 02:00:00,ORD,ATL,2025-05-11 02:00:00,Economy,544,Agent,0
F101,2025-06-11 03:00:00,ORD,MIA,2025-05-11 03:00:00,Premium,339,App,0
F103,2025-06-11 04:00:00,ORD,BOS,2025-05-11 04:00:00,Business,400,App,0
F102,2025-06-11 05:00:00,DFW,MIA,2025-05-11 05:00:00,Economy,701,App,0
F101,2025-06-11 06:00:00,LAX,ATL,2025-05-11 06:00:00,Premium,202,App,1
F101,2025-06-11 07:00:00,LAX,SEA,2025-05-11 07:00:00,Premium,349,Web,0
F101,2025-06-11 08:00:00,LAX,BOS,2025-05-11 08:00:00,Premium,552,Web,0
F103,2025-06-11 09:00:00,DFW,ATL,2025-05-11 09:00:00,Economy,619,Agent,0
F102,2025-06-11 10:00:00,ORD,ATL,2025-05-11 10:00:00,Business,252,Agent,0
F101,2025-06-11 11:00:00,LAX,SEA,2025-05-11 11:00:00,Premium,958,App,0
F104,2025-06-11 12:00:00,DFW,SEA,2025-05-11 12:00:00,Premium,273,Web,0
F101,2025-06-11 13:00:00,LAX,MIA,2025-05-11 13:00:00,Premium,442,App,0
F101,2025-06-11 14:00:00,JFK,BOS,2025-05-11 14:00:00,Premium,769,Agent,0
F103,2025-06-11 15:00:00,LAX,BOS,2025-05-11 15:00:00,Premium,530,Agent,0
F103,2025-06-11 16:00:00,LAX,SEA,2025-05-11 16:00:00,Business,826,App,0
F102,2025-06-11 17:00:00,ORD,MIA,2025-05-11 17:00:00,Business,788,Agent,0
F104,2025-06-11 18:00:00,DFW,BOS,2025-05-11 18:00:00,Premium,786,App,0
F103,2025-06-11 19:00:00,ORD,SEA,2025-05-11 19:00:00,Economy,951,Web,0
F101,2025-06-11 20:00:00,ORD,ATL,2025-05-11 20:00:00,Business,949,App,0
F102,2025-06-11 21:00:00,ORD,BOS,2025-05-11 21:00:00,Economy,757,Web,0
F101,2025-06-11 22:00:00,ORD,MIA,2025-05-11 22:00:00,Business,423,Web,0
F101,2025-06-11 23:00:00,ORD,MIA,2025-05-11 23:00:00,Premium,772,Agent,0
F103,2025-06-12 00:00:00,LAX,MIA,2025-05-12 00:00:00,Business,738,Agent,0
F102,2025-06-12 01:00:00,ORD,ATL,2025-05-12 01:00:00,Premium,519,Agent,0
F104,2025-06-12 02:00:00,ORD,BOS,2025-05-12 02:00:00,Business,693,App,0
F104,2025-06-12 03:00:00,DFW,BOS,2025-05-12 03:00:00,Premium,584,App,0
F103,2025-06-12 04:00:00,JFK,ATL,2025-05-12 04:00:00,Premium,758,Agent,0
F103,2025-06-12 05:00:00,LAX,BOS,2025-05-12 05:00:00,Premium,850,App,0
F102,2025-06-12 06:00:00,LAX,ATL,2025-05-12 06:00:00,Premium,511,Agent,0
F104,2025-06-12 07:00:00,LAX,ATL,2025-05-12 07:00:00,Economy,183,App,0
F104,2025-06-12 08:00:00,ORD,ATL,2025-05-12 08:00:00,Premium,212,Web,0
F104,2025-06-12 09:00:00,ORD,MIA,2025-05-12 09:00:00,Economy,836,Web,1
F101,2025-06-12 10:00:00,ORD,BOS,2025-05-12 10:00:00,Economy,431,Agent,0
F104,2025-06-12 11:00:00,DFW,ATL,2025-05-12 11:00:00,Premium,477,App,0
F101,2025-06-12 12:00:00,JFK,BOS,2025-05-12 12:00:00,Economy,854,App,0
F102,2025-06-12 13:00:00,ORD,MIA,2025-05-12 13:00:00,Business,754,Web,0
F101,2025-06-12 14:00:00,JFK,ATL,2025-05-12 14:00:00,Premium,140,Web,0
F102,2025-06-12 15:00:00,DFW,SEA,2025-05-12 15:00:00,Economy,869,Agent,0
F104,2025-06-12 16:00:00,LAX,MIA,2025-05-12 16:00:00,Premium,896,Web,0
F104,2025-06-12 17:00:00,ORD,SEA,2025-05-12 17:00:00,Premium,204,Agent,0
F102,2025-06-12 18:00:00,JFK,BOS,2025-05-12 18:00:00,Premium,301,Web,0
F103,2025-06-12 19:00:00,JFK,BOS,2025-05-12 19:00:00,Economy,549,Web,1
F102,2025-06-12 20:00:00,ORD,MIA,2025-05-12 20:00:00,Business,918,App,0
F103,2025-06-12 21:00:00,LAX,BOS,2025-05-12 21:00:00,Business,942,Web,1
F101,2025-06-12 22:00:00,LAX,SEA,2025-05-12 22:00:00,Economy,365,Web,0
F101,2025-06-12 23:00:00,LAX,ATL,2025-05-12 23:00:00,Premium,309,Agent,0
F101,2025-06-13 00:00:00,DFW,ATL,2025-05-13 00:00:00,Economy,662,Web,0
F104,2025-06-13 01:00:00,JFK,ATL,2025-05-13 01:00:00,Economy,217,Agent,0
